City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Kokopo,PG,-4.352,152.2633,77.99,80,22,7.09,few clouds
312,Quatre Cocos,MU,-20.2078,57.7625,67.08,70,47,17.0,light rain
313,Guiyang,CN,26.5833,106.7167,70.59,98,100,3.29,overcast clouds
314,Payo,ID,-3.7508,103.6372,72.57,87,100,1.36,overcast clouds
315,Zenzeli,RU,45.9241,47.0474,78.87,39,0,8.37,clear sky
316,Kamenka,RU,51.3223,42.7678,65.26,79,100,6.26,overcast clouds
317,Tommot,RU,58.9564,126.2925,69.55,81,50,1.95,scattered clouds
318,San Pedro,PH,14.35,121.0167,78.03,91,20,2.3,few clouds
319,Haines Junction,CA,60.7522,-137.5108,52.2,81,100,5.88,overcast clouds
320,Coquimbo,CL,-29.9533,-71.3436,60.53,58,0,5.75,clear sky
321,Orodara,BF,10.9492,-4.9342,70.92,92,99,3.36,overcast clouds
322,Ostrovnoy,RU,68.0531,39.5131,57.04,92,100,5.12,light rain
323,Dali,CN,25.7,100.1833,64.71,94,100,4.88,overcast clouds
324,Bunia,CD,1.5667,30.25,66.07,68,21,1.59,few clouds
325,Kraslice,CZ,50.3237,12.5175,56.25,65,8,2.84,clear sky
326,Kutina,HR,45.475,16.7819,70.07,57,18,9.01,few clouds
327,Aykhal,RU,66.0,111.5,49.84,95,100,17.67,light rain
328,Nizhniy Kuranakh,RU,58.8353,125.4869,69.84,77,63,3.13,broken clouds
329,Carmen De Carupa,CO,5.3486,-73.9017,58.28,70,85,3.65,overcast clouds
330,Sierra Vista,US,31.5545,-110.3037,98.49,23,40,5.01,scattered clouds
331,Labuhan,ID,-6.8844,112.2051,75.6,88,80,9.71,light rain
332,Vila Velha,BR,-20.3297,-40.2925,75.15,82,0,12.66,clear sky
333,Sakakah,SA,29.9697,40.2064,90.97,19,1,11.36,clear sky
334,Steamboat Springs,US,40.485,-106.8317,83.01,46,75,3.44,broken clouds
335,Nuuk,GL,64.1835,-51.7216,45.21,76,40,23.02,scattered clouds
336,Bangkalan,ID,-7.0455,112.7351,75.15,86,40,3.51,scattered clouds
337,Korla,CN,41.7597,86.1469,73.67,43,46,5.14,scattered clouds
338,San Pedro De Macoris,DO,18.4616,-69.2972,88.41,66,51,11.32,broken clouds
339,Avera,US,33.194,-82.5271,90.55,44,77,4.9,broken clouds
340,Rumoi,JP,43.9344,141.6428,65.46,83,100,6.55,moderate rain
341,Saint George,US,37.1041,-113.5841,109.44,15,0,6.91,clear sky
342,Karachi,PK,24.9056,67.0822,84.02,74,40,13.8,heavy intensity rain
